101,101,2,100000
101,102,1,50000
101,103,3,150000
102,104,1,200000
102,105,2,300000
102,106,1,100000
103,107,4,400000
103,108,1,100000
103,109,2,200000
104,110,3,300000
104,111,1,100000
104,112,2,200000
105,113,1,500000
105,114,2,400000
105,115,3,300000
106,116,1,100000
106,117,2,200000
106,118,3,300000
107,119,1,500000
107,120,2,400000
107,121,1,200000
108,122,3,300000
108,123,2,200000
108,124,1,100000
109,125,4,400000
109,126,1,200000
109,127,2,300000
110,128,3,450000
110,129,2,300000
110,130,1,150000
111,131,2,200000
111,132,1,150000
111,133,3,450000
112,134,2,300000
112,135,1,150000
112,136,3,450000
113,137,2,500000
113,138,1,300000
113,139,4,800000
114,140,1,200000
114,141,2,300000
