1,101,5,10000000
1,102,3,7500000
2,103,10,9000000
2,104,2,3600000
3,105,7,11900000
3,106,8,11200000
4,107,4,6400000
4,108,1,3000000
5,109,2,4000000
5,110,3,10500000
6,111,6,13200000
6,112,2,2400000
7,113,8,21600000
7,114,4,6000000
8,115,9,27000000
8,113,5,13500000
9,114,3,4500000
9,110,7,24500000
10,111,1,2200000
10,115,4,12000000
1,101,2,4000000
1,101,5,10000000
1,102,3,7500000
2,103,10,9000000
2,104,2,3600000
3,105,7,11900000
3,106,8,11200000
4,107,4,6400000
4,108,1,3000000
5,109,2,4000000
5,110,3,10500000
6,111,6,13200000
6,112,2,2400000
7,113,8,21600000
7,114,4,6000000
8,115,9,27000000
8,113,5,13500000
9,114,3,4500000
9,110,7,24500000
10,111,1,2200000
10,115,4,12000000
1,101,2,4000000
1,101,5,10000000
1,102,3,7500000
2,103,10,9000000
2,104,2,3600000
3,105,7,11900000
3,106,8,11200000
4,107,4,6400000
4,108,1,3000000
5,109,2,4000000
5,110,3,10500000
6,111,6,13200000
6,112,2,2400000
7,113,8,21600000
7,114,4,6000000
8,115,9,27000000
8,113,5,13500000
9,114,3,4500000
9,110,7,24500000
10,111,1,2200000
10,115,4,12000000
1,101,2,4000000
