101,201,301,2023-01-01,500000.5
102,202,302,2023-01-05,1500000.75
103,203,303,2023-01-10,300000.0
104,204,304,2023-01-15,700000.25
105,205,305,2023-01-20,1200000.0
106,206,306,2023-01-25,450000.5
107,207,307,2023-01-30,800000.0
108,208,308,2023-02-01,600000.75
109,209,309,2023-02-05,300000.0
110,210,310,2023-02-10,900000.25
111,211,311,2023-02-15,500000.0
112,212,312,2023-02-20,1300000.5
113,213,313,2023-02-25,400000.0
114,214,314,2023-03-01,1000000.75
115,215,315,2023-03-05,550000.5
116,216,316,2023-03-10,800000.0
117,217,317,2023-03-15,600000.0
118,218,318,2023-03-20,750000.25
119,219,319,2023-03-25,2000000.0
120,220,320,2023-03-30,300000.0
121,221,321,2023-04-01,1500000.5
122,222,322,2023-04-05,100000.25
123,223,323,2023-04-10,350000.0
124,224,324,2023-04-15,1250000.75
125,225,325,2023-04-20,700000.0
126,226,326,2023-04-25,900000.0
127,227,327,2023-04-30,500000.5
128,228,328,2023-05-01,300000.0
129,229,329,2023-05-05,800000.75
